2019-03-18 16:58:01 INFO  Hook:67 - Chrome Browser Launched Successfully
2019-03-18 16:58:19 INFO  ReusableSteps:78 - Enter Matilda URL in the address bar of the browser
2019-03-18 16:58:23 INFO  ReusableSteps:133 - Entered Username
2019-03-18 16:58:24 INFO  ReusableSteps:139 - Entered Password
2019-03-18 16:58:24 INFO  ReusableSteps:144 - Clicked on Sign In Button
2019-03-18 16:58:27 INFO  BaseUtil:72 - Click on Release List Tab
2019-03-18 16:58:28 INFO  BaseUtil:82 - Click on Create New Release Button
2019-03-18 16:58:28 INFO  BaseUtil:95 - Clcik and Select ReleaseType
2019-03-18 16:58:28 INFO  BaseUtil:106 - Click on Release Textbox
2019-03-18 16:58:29 INFO  BaseUtil:117 - Release Name :TestMarch18_APP_Version11
2019-03-18 16:58:29 INFO  BaseUtil:129 - Click on Project Field and Select Project
2019-03-18 16:58:30 INFO  BaseUtil:142 - Click on Application Field and Select Application
2019-03-18 16:58:30 INFO  BaseUtil:155 - Click on Release Plan Field and Select Release Plan
2019-03-18 16:58:30 INFO  BaseUtil:191 - Click on Description
2019-03-18 16:58:31 INFO  BaseUtil:201 - Description :Release Description
2019-03-18 16:58:33 INFO  BaseUtil:212 - Click on Save and Next
2019-03-18 16:58:33 INFO  BaseUtil:222 - Verify whether Release is Created or not
2019-03-18 16:58:33 INFO  BaseUtil:237 - Click on Create New Environment Button
2019-03-18 16:58:33 INFO  BaseUtil:250 - Click on Environment Name Field
2019-03-18 16:58:34 INFO  BaseUtil:261 - EnvironmentName :New_Enironment_Version
2019-03-18 16:58:34 INFO  BaseUtil:273 - Click Environment Type
2019-03-18 16:58:34 INFO  BaseUtil:278 - Select Environment Type
2019-03-18 16:58:35 INFO  BaseUtil:289 - Click Save
2019-03-18 16:58:35 INFO  BaseUtil:300 - Verify whether Environment is Created or not
2019-03-18 16:58:36 INFO  BaseUtil:314 - Click Create Workflow Icon
2019-03-18 16:58:36 INFO  BaseUtil:325 - Click on Workflow Name Textbox
2019-03-18 16:58:36 INFO  BaseUtil:335 - WorkflowName :NewWorkflow
2019-03-18 16:58:36 INFO  BaseUtil:345 - Click Frequency
2019-03-18 16:58:37 INFO  BaseUtil:349 - Select Frequency
